ip,lat,lon
87.76.29.19,51.3472,-0.480328
45.55.129.76,40.8326,-74.1307
186.116.93.181,4.65454,-74.0877
191.243.15.151,-21.0888,-49.2188
65.210.69.121,40.369,-80.0457
23.208.92.104,42.3626,-71.0843
100.11.88.140,40.2415,-75.2838
195.254.233.203,46.4907,11.3398
42.53.150.138,41.7922,123.4328
39.79.6.11,36.6683,116.9972
181.230.57.23,-34.815,-58.4792
88.4.253.232,41.6552,-4.7237
71.204.144.5,37.2972,-121.8868
220.120.7.129,37.5665,126.978
62.211.149.134,45.0105,7.8213
177.55.217.199,-15.7833,-47.9167
210.66.207.221,24.1469,120.6839
221.224.39.225,31.3041,120.5954
60.23.83.251,41.7922,123.4328
76.102.225.166,37.7811,-122.4625
72.179.185.213,29.5698,-98.6161
109.21.25.79,45.8008,3.2501
184.50.142.89,42.3626,-71.0843
194.15.126.214,47.221,38.917
166.84.110.57,40.7958,-73.9775
174.63.110.3,42.3496,-71.0746
206.111.49.156,34.2521,-118.7843
98.151.73.128,21.2967,-157.8498
79.37.55.61,40.7833,14.7667
109.190.60.205,48.8566,2.35222
189.227.185.224,19.2981,-99.1825
88.189.180.90,43.7586,7.3188
2.230.158.7,45.53,9.278
184.87.188.42,52.35,4.9167
81.169.167.40,52.5167,13.4
83.50.192.95,38.5382,-0.131
112.238.100.231,37.6508,120.3286
84.232.122.222,37.386,-6.5523
115.171.129.188,39.9289,116.3883
115.210.37.184,29.1068,119.6442
60.184.69.86,30.8703,120.0933
37.46.166.17,59.3333,18.05
156.202.113.178,30.077,31.0192
200.39.78.175,-25.0833,-50.15
104.179.170.111,27.3714,-80.302
112.93.14.54,23.1167,113.25
108.54.145.17,40.7111,-73.9469
200.33.25.1,20.9889,-89.6408
89.244.177.248,48.7667,9.1833
84.209.11.35,59.905,10.7487
84.221.163.199,39.5618,8.8997
179.206.137.99,-23.5505,-46.6333
190.161.157.183,-33.0081,-71.5197
73.100.223.160,41.5471,-72.343
46.52.33.218,27.0084,49.6634
62.156.153.78,48.1,11.4
111.161.134.1,39.1422,117.1767
85.246.11.31,38.7167,-9.1333
95.163.124.160,55.7522,37.6156
184.25.159.95,52.35,4.9167
60.112.255.64,35.8094,139.6925
88.202.236.242,46.1445,3.75708
59.164.125.206,18.5333,73.8667
12.87.253.106,43.1331,-89.3491
94.236.242.184,42.6833,23.3167
73.23.177.142,26.1526,-81.7364
121.99.116.242,-36.85,174.765
2.126.20.122,51.5142,-0.0931
27.212.209.16,36.7906,118.0633
190.234.214.69,-12.0678,-77.0886
170.59.41.254,33.8822,-84.3783
67.253.131.72,42.9038,-78.5008
101.98.31.74,-41.5456,173.9572
163.158.125.121,52.3456,6.6708
66.18.212.195,51.0412,-114.0762
68.54.22.128,44.8309,-93.4599
65.35.75.99,27.8626,-82.7094
83.235.179.34,37.9833,23.7333
180.149.182.163,35.8569,139.6489
59.89.153.243,27.2167,78.0167
189.183.7.216,25.75,-100.3
2.17.226.207,52.3702,4.89517
67.254.206.41,40.8596,-73.9314
190.72.232.126,10.5,-66.9167
173.43.65.193,33.6603,-117.999
74.47.126.242,41.3424,-75.9904
62.225.171.225,50.4374,7.83159
77.29.223.197,42,21.4333
81.149.107.104,51.4333,-0.2167
188.187.32.175,59.8944,30.2642
71.251.181.137,36.9095,-76.1858
68.44.243.145,39.678,-86.2005
93.220.181.210,51.0846,14.4559
116.39.99.77,35.2281,128.6811
86.21.89.163,52.8918,-1.4224
87.112.105.156,51.5902,-0.25177
68.100.121.30,38.8472,-77.1425
72.185.21.248,28.9345,-82.4723
92.190.124.200,40.4167,-3.6838
90.71.129.248,40.4175,-3.80019
204.145.126.63,40.1804,-74.893
167.57.92.36,-34.9,-56.1333
67.172.101.20,36.3165,-86.9229
95.101.68.240,45.4654,9.18592
192.237.188.183,29.4889,-98.3987
83.101.52.177,50.8466,4.3528
124.94.5.164,39.8775,124.1475
114.240.145.85,39.9289,116.3883
177.139.173.173,-23.7,-46.55
92.89.118.9,49.2584,5.407
42.98.122.105,22.3667,114.05
84.1.133.25,47.4979,19.0402
217.247.114.150,51.8441,12.2475
98.244.218.252,27.0633,-82.2552
86.66.255.252,48.8331,2.3264
5.238.230.135,35.7261,51.3304
221.9.242.96,43.88,125.3228
192.112.194.79,33.3233,-111.8244
87.58.77.14,55.382,10.2694
160.80.230.200,41.9,12.4833
180.169.141.235,31.0456,121.3997
175.2.239.32,28.1792,113.1136
175.30.27.129,43.88,125.3228
177.155.68.201,-29.7289,-51.8175
80.91.245.254,53.5511,9.99368
200.99.138.112,-23.5733,-46.6417
74.89.40.1,40.5833,-73.924
91.61.198.222,48.3372,7.8704
112.126.137.25,30.2936,120.1614
138.201.20.62,48.5359,12.1523
2.219.76.106,54.5728,-1.1628
88.17.57.213,41.5819,2.5494
71.212.251.191,39.5975,-105.0141
122.191.100.220,30.5801,114.2734
81.203.196.215,39.15,-0.4333
112.237.72.160,37.5333,121.4
103.26.77.61,31.8639,117.2808
196.222.163.237,6.86761,7.40957
86.38.174.117,54.6873,25.2147
