Ip crawling response: 
Reached: 36;	Not reached: 464;	 (7.758620689655173% reached)
-------------------------------------------------------------------------------------
192.163.185.28	 is reachable
46.242.148.115	 is reachable
189.140.171.127	 is reachable
88.181.239.61	 is reachable
89.176.117.34	 is reachable
84.127.186.171	 is reachable
71.50.174.243	 is reachable
66.194.31.18	 is reachable
85.246.170.96	 is reachable
173.89.247.97	 is reachable
77.38.178.52	 is reachable
60.49.47.109	 is reachable
90.198.64.252	 is reachable
74.110.112.232	 is reachable
14.141.248.92	 is reachable
192.186.233.172	 is reachable
104.117.28.179	 is reachable
195.97.94.129	 is reachable
88.175.173.47	 is reachable
88.66.234.227	 is reachable
96.233.155.200	 is reachable
78.236.23.100	 is reachable
92.101.54.21	 is reachable
190.58.111.217	 is reachable
68.37.61.192	 is reachable
84.195.127.158	 is reachable
217.235.143.46	 is reachable
69.134.49.14	 is reachable
60.83.81.101	 is reachable
35.199.186.152	 is reachable
202.141.228.81	 is reachable
72.74.143.197	 is reachable
107.177.55.44	 is reachable
72.89.163.66	 is reachable
78.193.189.67	 is reachable
94.99.128.183	 is reachable
155.50.162.161	 is unreachable
79.13.148.172	 is unreachable
249.182.74.9	 is unreachable
126.115.172.43	 is unreachable
255.211.212.26	 is unreachable
85.213.29.95	 is unreachable
131.197.5.166	 is unreachable
243.108.91.201	 is unreachable
20.234.62.30	 is unreachable
153.58.189.5	 is unreachable
136.92.53.124	 is unreachable
34.120.225.226	 is unreachable
209.139.113.45	 is unreachable
148.157.59.130	 is unreachable
227.8.164.15	 is unreachable
61.114.22.49	 is unreachable
237.55.176.227	 is unreachable
52.2.132.75	 is unreachable
116.90.225.103	 is unreachable
142.6.254.101	 is unreachable
17.70.164.137	 is unreachable
105.168.127.145	 is unreachable
5.213.34.190	 is unreachable
39.85.69.116	 is unreachable
26.247.129.102	 is unreachable
179.115.156.152	 is unreachable
13.231.94.57	 is unreachable
56.108.5.111	 is unreachable
243.248.72.51	 is unreachable
28.184.67.182	 is unreachable
146.208.178.238	 is unreachable
114.12.154.241	 is unreachable
140.195.248.127	 is unreachable
27.212.75.196	 is unreachable
192.88.244.151	 is unreachable
12.148.227.110	 is unreachable
188.150.140.229	 is unreachable
211.235.152.29	 is unreachable
217.60.63.133	 is unreachable
205.212.61.252	 is unreachable
18.86.188.27	 is unreachable
129.0.230.244	 is unreachable
96.188.34.18	 is unreachable
163.39.33.220	 is unreachable
193.146.147.244	 is unreachable
48.226.144.245	 is unreachable
44.131.100.163	 is unreachable
186.70.129.40	 is unreachable
172.126.184.62	 is unreachable
240.112.19.186	 is unreachable
111.153.196.85	 is unreachable
156.53.125.148	 is unreachable
87.120.104.87	 is unreachable
192.101.40.160	 is unreachable
183.64.164.53	 is unreachable
52.5.155.123	 is unreachable
25.66.46.33	 is unreachable
35.37.146.44	 is unreachable
52.49.69.165	 is unreachable
93.18.141.224	 is unreachable
61.27.112.64	 is unreachable
108.11.134.174	 is unreachable
74.14.94.183	 is unreachable
75.195.15.175	 is unreachable
89.214.244.49	 is unreachable
25.182.112.120	 is unreachable
88.39.237.115	 is unreachable
92.82.37.4	 is unreachable
206.194.33.55	 is unreachable
76.210.251.55	 is unreachable
243.90.82.187	 is unreachable
243.178.217.207	 is unreachable
199.73.82.192	 is unreachable
47.71.140.162	 is unreachable
134.147.5.29	 is unreachable
231.132.24.239	 is unreachable
31.10.216.41	 is unreachable
67.111.155.76	 is unreachable
151.126.155.249	 is unreachable
218.71.21.92	 is unreachable
151.175.115.33	 is unreachable
239.214.69.64	 is unreachable
173.114.35.167	 is unreachable
144.188.33.222	 is unreachable
23.219.183.15	 is unreachable
8.167.155.123	 is unreachable
32.231.149.222	 is unreachable
17.123.167.94	 is unreachable
222.156.129.129	 is unreachable
175.142.107.180	 is unreachable
130.70.79.25	 is unreachable
49.227.100.186	 is unreachable
81.177.18.76	 is unreachable
78.102.157.60	 is unreachable
154.128.189.156	 is unreachable
114.43.30.153	 is unreachable
101.31.21.131	 is unreachable
200.151.238.115	 is unreachable
210.119.53.227	 is unreachable
115.76.156.175	 is unreachable
19.55.6.198	 is unreachable
154.9.125.35	 is unreachable
148.74.66.182	 is unreachable
50.174.130.166	 is unreachable
36.86.111.56	 is unreachable
238.59.32.240	 is unreachable
106.40.255.194	 is unreachable
170.232.56.30	 is unreachable
37.118.133.36	 is unreachable
210.223.38.233	 is unreachable
141.242.216.233	 is unreachable
124.178.1.239	 is unreachable
248.19.97.245	 is unreachable
241.61.0.248	 is unreachable
49.69.26.222	 is unreachable
16.30.44.4	 is unreachable
225.101.156.63	 is unreachable
194.50.164.199	 is unreachable
12.6.106.237	 is unreachable
147.99.125.93	 is unreachable
148.89.233.234	 is unreachable
211.127.198.64	 is unreachable
197.211.35.207	 is unreachable
38.154.196.45	 is unreachable
113.228.77.242	 is unreachable
186.156.206.51	 is unreachable
228.250.242.153	 is unreachable
203.144.96.186	 is unreachable
63.195.104.22	 is unreachable
18.236.135.180	 is unreachable
115.52.112.51	 is unreachable
212.30.117.247	 is unreachable
77.109.166.5	 is unreachable
159.177.243.229	 is unreachable
253.176.239.179	 is unreachable
250.117.200.229	 is unreachable
35.186.71.232	 is unreachable
18.228.240.72	 is unreachable
167.55.14.159	 is unreachable
192.232.31.248	 is unreachable
130.19.107.168	 is unreachable
238.15.16.45	 is unreachable
1.195.160.127	 is unreachable
97.130.17.129	 is unreachable
176.213.70.231	 is unreachable
83.206.191.188	 is unreachable
75.0.17.158	 is unreachable
165.165.38.66	 is unreachable
229.240.74.239	 is unreachable
48.153.144.251	 is unreachable
123.93.29.52	 is unreachable
108.112.34.213	 is unreachable
70.155.195.155	 is unreachable
125.225.145.181	 is unreachable
75.198.174.5	 is unreachable
154.69.244.139	 is unreachable
23.20.222.172	 is unreachable
95.80.159.92	 is unreachable
131.57.108.51	 is unreachable
6.169.181.175	 is unreachable
187.190.182.76	 is unreachable
